food_quality,cleanliness,quantity,taste,service,waiting_time,meal_type,hostel_block,feedback_text,date,rating
1,1,1,5,1.0,2.0,Dinner,Block-B,Rice was undercooked,2025-09-06,2
5,3,3,4,3.0,3.0,Dinner,Block-A,Food was tasty but quantity was less,2026-04-25,4
4,5,2,4,4.0,5.0,Lunch,Block-C,Good quantity and excellent taste,2026-03-07,4
4,4,1,2,2.0,5.0,Dinner,Block-A,Good quantity and excellent taste,2026-05-06,3
5,5,4,2,5.0,3.0,Breakfast,Block-C,Mess area was not clean,2026-01-17,4
2,5,3,1,4.0,5.0,Breakfast,Block-D,Fresh food and clean dining area,2025-11-02,3
3,1,1,2,2.0,2.0,Lunch,Block-C,Very good service today,2026-02-16,2
2,5,1,5,4.0,1.0,Lunch,Block-B,Clean environment but average taste,2025-09-26,3
1,1,1,2,5.0,2.0,Lunch,Block-A,Good service but poor cleanliness,2025-06-29,1
4,3,3,4,5.0,1.0,Dinner,Block-D,Too much waiting time,2026-03-24,4
2,4,3,2,3.0,5.0,Dinner,Block-A,Food was cold,2025-11-28,3
4,4,4,2,2.0,1.0,Dinner,Block-B,Taste needs improvement,2026-03-22,4
1,5,1,1,3.0,1.0,Dinner,Block-C,Fresh food and clean dining area,2025-10-22,2
4,4,4,3,4.0,2.0,Breakfast,Block-A,Very good service today,2025-07-05,4
2,3,3,5,5.0,3.0,Breakfast,Block-A,Food was tasty but quantity was less,2026-05-04,3
1,3,3,2,1.0,4.0,Lunch,Block-C,Food was cold,2025-07-03,2
1,4,5,2,2.0,1.0,Breakfast,Block-B,Clean environment but average taste,2025-07-28,3
1,5,5,5,5.0,1.0,Dinner,Block-A,Food was tasty but quantity was less,2025-10-05,4
3,3,2,4,4.0,2.0,Dinner,Block-C,Dinner quality has improved recently,2026-02-02,3
3,3,3,5,2.0,4.0,Dinner,Block-C,Mess area was not clean,2026-04-12,4
1,5,3,2,1.0,2.0,Dinner,Block-A,Food was tasty but quantity was less,2025-08-13,3
5,4,5,5,4.0,1.0,Lunch,Block-D,Dinner quality has improved recently,2026-05-01,5
4,2,5,5,2.0,5.0,Dinner,Block-C,Taste needs improvement,2025-08-09,4
3,1,4,5,4.0,4.0,Breakfast,Block-B,Food was tasty but quantity was less,2026-02-14,3
3,3,2,4,1.0,2.0,Lunch,Block-B,Rice was undercooked,2025-09-18,3
3,1,2,1,4.0,5.0,Breakfast,Block-C,Food was tasty but quantity was less,2025-09-09,2
4,2,3,4,4.0,4.0,Lunch,Block-B,Food was tasty but quantity was less,2025-07-04,3
3,1,5,4,3.0,2.0,Lunch,Block-C,Fresh food and clean dining area,2025-12-23,3
5,2,4,3,1.0,4.0,Lunch,Block-B,Quantity was sufficient but food was cold,2025-06-11,4
3,1,2,5,2.0,1.0,Dinner,Block-A,Fresh food and clean dining area,2025-07-17,3
2,4,2,1,4.0,2.0,Dinner,Block-D,Taste needs improvement,2025-12-08,2
5,4,5,2,1.0,2.0,Lunch,Block-B,Dinner quality has improved recently,2025-08-16,4
4,4,2,3,2.0,3.0,Breakfast,Block-C,Food was tasty but quantity was less,2025-07-24,3
4,2,4,1,4.0,1.0,Dinner,Block-B,Quantity was sufficient but food was cold,2025-09-02,3
3,2,4,1,3.0,3.0,Dinner,Block-D,Taste needs improvement,2026-01-03,2
3,5,5,1,4.0,1.0,Lunch,Block-D,Dinner quality has improved recently,2026-05-27,4
3,3,3,4,5.0,5.0,Dinner,Block-B,Quantity was sufficient but food was cold,2025-12-29,3
2,1,4,2,5.0,5.0,Dinner,Block-C,Good quantity and excellent taste,2026-05-17,2
4,1,2,2,3.0,2.0,Dinner,Block-D,Mess area was not clean,2025-12-14,2
3,4,2,1,3.0,1.0,Lunch,Block-C,Mess area was not clean,2025-07-06,2
2,2,3,2,4.0,3.0,Lunch,Block-D,Good quantity and excellent taste,2026-02-07,2
3,1,5,3,4.0,2.0,Dinner,Block-D,Fresh food and clean dining area,2026-04-27,3
4,1,4,3,2.0,1.0,Breakfast,Block-C,Fresh food and clean dining area,2026-02-25,3
1,5,3,4,1.0,5.0,Lunch,Block-D,Clean environment but average taste,2025-09-11,3
2,3,3,2,4.0,2.0,Breakfast,Block-A,Very good service today,2025-11-18,2
1,2,2,2,5.0,5.0,Lunch,Block-C,Dinner quality has improved recently,2025-09-07,2
2,3,1,4,1.0,1.0,Dinner,Block-C,Food was cold,2026-04-19,2
1,2,2,4,4.0,3.0,Dinner,Block-A,Quantity was sufficient but food was cold,2025-09-02,2
3,3,2,5,5.0,3.0,Dinner,Block-D,Quantity was sufficient but food was cold,2026-01-11,3
4,1,1,2,3.0,4.0,Dinner,Block-C,Rice was undercooked,2025-08-05,2
3,3,2,1,3.0,5.0,Dinner,Block-D,Too much waiting time,2026-03-10,2
3,1,2,3,5.0,2.0,Dinner,Block-A,Mess area was not clean,2026-02-28,2
